"Qty";"Value";"Device";"Package";"Parts";"Description";"MPN";
"1";"";"LAUNCHPAD_BOOSTER_PACK";"LAUNCHPAD_BOOSTER_PACK";"U$1";"";"";
"1";"";"LSM303DLHC";"LGA14";"U$7";"";"LSM303DLHC";
"1";"";"LSM330DLC";"LGA28-4X5";"U$8";"";"LSM330DLC";
"1";"";"LSM333D";"LGA28";"U$9";"";"LSM333D";
"1";"";"TCS32X0";"SOIC8";"U$5";"";"TCS32X0";
"1";"";"VCNL3020";"VCNL3020";"U$6";"";"VCNL3020";
"1";"0.1u";"C-EUC0603";"C0603";"C17";"CAPACITOR, European symbol";"LMK107BBJ106MALT";
"8";"0.1u";"C-EUC0603";"C0603";"C2, C3, C6, C9, C10, C14, C15, C19";"CAPACITOR, European symbol";"VJ0603V104ZXXCW1BC";
"2";"0.22u";"C-EUC0603";"C0603";"C7, C11";"CAPACITOR, European symbol";"VJ0603V224MXJPW1BC";
"3";"10K";"R-US_R0603";"R0603";"R3, R7, R8";"RESISTOR, American symbol";"WR06X1002FTL";
"2";"10K, DNI";"R-US_R0603";"R0603";"R9, R10";"RESISTOR, American symbol";"WR06X1002FTL";
"1";"10n";"C-EUC0603";"C0603";"C16";"CAPACITOR, European symbol";"VJ0603Y103KXACW1BC";
"4";"10u";"C-EUC0603";"C0603";"C4, C8, C13, C18";"CAPACITOR, European symbol";"LMK107BBJ106MALT";
"15";"33";"R-US_R0603";"R0603";"R4, R5, R6, R11, R12, R13, R14, R15, R16, R17, R18, R19, R20, R21, R22";"RESISTOR, American symbol";"CR0402-JW-330GLF";
"2";"4.7u";"C-EUC0603";"C0603";"C5, C12";"CAPACITOR, European symbol";"GRM188F51A475ZE20J";
"2";"5.6K, 5%";"R-US_R0603";"R0603";"R1, R2";"RESISTOR, American symbol";"RK73B1JTTDD562J";
